Species,fc,auroc,p.val,p.adj,cohen.d
Scedosporium apiospermum,0.054933118,0.556090686,0.008805719,0.013890438,-0.006567114
Ascochyta rabiei,0.26269371,0.590768628,8.49E-06,2.69E-05,0.015979857
Trametes versicolor,0.010400117,0.490375194,0.653068598,0.696020793,-0.167453965
Cadophora sp. DSE1049,0.467805473,0.652474412,9.59E-13,1.37E-11,0.191646048
Absidia repens,0.248022155,0.572928443,0.000649023,0.001365085,0.061160145
Trichoderma gamsii,0.273904276,0.586348151,3.00E-05,8.46E-05,0.099914456
Calocera viscosa,0.154247137,0.573015119,0.000649038,0.001365085,0.075686151
Aspergillus ibericus,0.301177604,0.571854414,0.000702034,0.001463598,0.097537379
Fusarium langsethiae,0.019913439,0.478805831,0.32225934,0.374219722,-0.195896847
Trichoderma parareesei,0.11354589,0.518884065,0.368807527,0.420735627,-0.090861132
Clohesyomyces aquaticus,0.244130875,0.639996834,6.19E-11,6.13E-10,0.336706176
Aspergillus brunneoviolaceus,0.299199499,0.597084671,5.38E-06,1.78E-05,0.121968683
Trichophyton verrucosum,0.227900342,0.560748579,0.004239834,0.007112945,-0.070470539
Trichophyton equinum,0,0.492937789,0.285982649,0.337592101,-0.066411796
Trichophyton interdigitale,-0.026794432,0.463550852,0.060465685,0.082274873,0.015101303
Trichophyton mentagrophytes,0,0.499570388,0.967395402,0.97422729,-0.051913752
Trichophyton rubrum,0,0.516894285,0.069103524,0.093139533,0.067635536
Verticillium dahliae,0.435997784,0.628438777,3.50E-10,2.97E-09,0.197945164
Paecilomyces variotii,0.174368338,0.521326068,0.318078646,0.371178518,-0.120982889
[Candida] glabrata,0.076011081,0.597996654,4.73E-06,1.58E-05,0.199307021
Truncatella angustata,0.140398941,0.60037836,2.76E-06,9.89E-06,0.219575626
[Candida] duobushaemulonis,0.052209347,0.49989825,0.996207809,0.996207809,-0.137742983
Amphiamblys sp. WSBS2006,0.105788016,0.581441535,0.000142707,0.000346088,0.122683838
Botryobasidium botryosum,0.092275136,0.578080013,0.000265898,0.000615537,0.132574937
Hirsutella minnesotensis,-0.034016574,0.469188562,0.150164598,0.186854029,-0.195110229
Phialophora attinorum,0.222299368,0.640298316,5.67E-11,5.69E-10,0.204455616
Colletotrichum karsti,0.149812774,0.613236558,1.23E-07,6.38E-07,0.232640014
Baudoinia panamericana,0.28396596,0.567987911,0.001435442,0.002736551,0.126677613
Ustilago hordei,0.060104729,0.501462187,0.945333784,0.954706782,-0.008945004
Nadsonia fulvescens,0.18382097,0.629780371,1.35E-09,9.74E-09,0.290793039
Calocera cornea,0.035998583,0.534139043,0.110860673,0.141909623,0.048119081
Vittaforma corneae,0.21970316,0.58400413,8.63E-05,0.000217412,0.068834304
Vavraia culicis,0.266441063,0.599541748,7.27E-07,3.01E-06,0.201109156
Aspergillus calidoustus,0.095422679,0.51915163,0.370964897,0.421846845,-0.108804533
Tolypocladium capitatum,0.092254729,0.531723421,0.138395448,0.173725272,-0.115965846
Alternaria alternata,0.130972066,0.535299748,0.096901413,0.125619468,0.127611579
[Candida] haemuloni,0.329119922,0.605740967,6.74E-07,2.88E-06,0.326267074
Bipolaris sorokiniana,0.41170286,0.615976273,5.44E-08,3.03E-07,0.223890067
Talaromyces atroroseus,0.006190869,0.469863127,0.15907277,0.196907787,-0.245086347
Zymoseptoria brevis,0.16890378,0.574918223,0.00011969,0.000294272,0.172017215
Leucosporidium creatinivorum,0.102534342,0.569438792,0.001182859,0.002304313,0.192062342
Aspergillus brasiliensis,0.380819246,0.640927659,2.01E-11,2.13E-10,0.242618051
Aspergillus alliaceus,0.07871585,0.519072491,0.372792156,0.423249693,-0.064695711
Cercospora zeina,0.24662425,0.647070351,6.49E-12,7.85E-11,0.083768367
Aspergillus caelatus,0.052245329,0.514294005,0.502479039,0.558049151,-0.065791251
Acaromyces ingoldii,0.22472612,0.720835406,6.14E-25,1.46E-22,0.671622852
Kazachstania barnettii,0.07623428,0.543564118,0.041896064,0.058572341,0.074136224
Colletotrichum siamense,0.080198127,0.543888211,0.040396925,0.05692294,-0.083715277
Tuber melanosporum,0.092802945,0.524717738,0.248218274,0.297945504,-0.055844332
Ascosphaera apis,0.112116082,0.502713336,0.899105864,0.914497119,-0.14411317
Drepanopeziza brunnea,0.215812033,0.636005969,2.12E-10,1.92E-09,0.247260633
Pichia membranifaciens,0.034282687,0.505283468,0.80510584,0.833150165,-0.089705229
Zygosaccharomyces bailii,0.256422447,0.550422828,0.001985506,0.003629912,0.09234487
Zygosaccharomyces parabailii,-0.012897942,0.491630112,0.628733899,0.672094858,0.055268512
Cordyceps militaris,0.165009937,0.51519845,0.477284233,0.532556586,-0.113699994
Cladophialophora yegresii,0.217665385,0.551097394,0.016953253,0.025609469,-0.053619161
[Candida] intermedia,0.134665369,0.597819533,4.92E-06,1.64E-05,0.12960275
Antrodia serialis,0.178155475,0.598659913,4.07E-06,1.38E-05,0.115554848
Choanephora cucurbitarum,0.169197072,0.573889416,0.000556427,0.001194977,0.078541417
Hanseniaspora uvarum,-0.081734596,0.432957989,0.001742437,0.003252244,-0.309429324
Batrachochytrium dendrobatidis,0.291110789,0.600544175,2.12E-06,7.95E-06,0.130282759
Tilletiopsis washingtonensis,-0.157515842,0.40839476,1.88E-05,5.53E-05,-0.173144301
Verruconis gallopava,0.387074367,0.630330575,9.82E-10,7.39E-09,0.316125881
Aspergillus eucalypticola,0.168898483,0.550705467,0.017623165,0.026509107,-0.006351152
Aspergillus mulundensis,0.203433296,0.568492893,0.00095955,0.001895178,0.19593938
Pyricularia oryzae,0.101868284,0.572351859,0.000727523,0.001512314,0.08730839
