,CPM,logFC,signif,name,col,Richess,logCPM
3887,0.907779468,-0.23177337,TRUE,s__Thalassoglobus_polymorphus,Non_sig,Different abundant taxa,-0.139586237
3888,1.157345939,-0.200709734,TRUE,s__Sphingomonas_sp._AK-PDB1-5,favor-type,Different abundant taxa,0.210820161
3889,1.197969193,-0.259797724,TRUE,s__Enterobacter_chuandaensis,favor-type,Different abundant taxa,0.260590809
3890,0.851157144,1.853787493,TRUE,s__Citrobacter_sp._MGH103,Non_sig,Different abundant taxa,-0.232502582
3891,3.137460277,-0.227162619,TRUE,s__Amycolatopsis_albispora,favor-type,Different abundant taxa,1.649597193
3892,1.6882754,-0.185309019,TRUE,s__Kingella_potus,favor-type,Different abundant taxa,0.755550263
3893,3.010035394,-0.157156477,TRUE,s__Microbacterium_foliorum,favor-type,Different abundant taxa,1.589780451
3894,0.710054672,-0.27908553,TRUE,s__Taylorella_equigenitalis,Non_sig,Different abundant taxa,-0.493997983
3895,1.512300531,0.248476232,TRUE,s__Pseudomonas_sp._Pc102,unfavor-type,Different abundant taxa,0.596744867
3896,0.509754687,-0.412473563,TRUE,s__Curtobacterium_sp._SGAir0471,Non_sig,Different abundant taxa,-0.97212496
3897,1.471898543,-0.243030806,TRUE,s__Pseudomonas_sp._M30-35,favor-type,Different abundant taxa,0.55767823
3898,0.640103063,-0.429006188,TRUE,s__Thiomicrospira_sp._S5,Non_sig,Different abundant taxa,-0.643623883
