bacter_tsne1,bacter_tsne2,Group
-4.324353047,0.204099135,favor-type
-4.487212909,-0.783721595,favor-type
-7.148221115,-4.306287705,favor-type
-6.490787975,-3.440528798,favor-type
-6.51746591,-3.300704544,favor-type
1.90261887,1.726142212,favor-type
-7.262167488,2.151984087,unfavor-type
-0.261566947,-2.996605669,favor-type
15.09620883,2.505822313,unfavor-type
14.94501187,2.290545943,unfavor-type
12.41811401,4.232566423,unfavor-type
7.714395259,-4.920065597,favor-type
-5.265355509,3.797822468,unfavor-type
-0.879846267,1.570916983,unfavor-type
-1.024728308,1.676725257,unfavor-type
-8.769168878,-7.910196529,unfavor-type
-0.334334826,11.95656071,favor-type
0.47554787,12.61488088,unfavor-type
1.184727947,-5.451072242,favor-type
1.189587859,-5.80417185,favor-type
1.113245309,-5.505087359,favor-type
-11.85755686,-9.123054327,unfavor-type
-11.96758899,-9.377375705,unfavor-type
-11.44093139,-10.87055461,unfavor-type
-2.475725121,10.95092406,favor-type
9.335818746,-2.232774727,unfavor-type
9.607224269,-2.090992732,unfavor-type
0.164969358,-3.789213546,favor-type
-6.880383973,-9.707901004,unfavor-type
3.348948674,-7.185997475,favor-type
4.956626938,-1.907291622,favor-type
-6.173771376,-0.690616471,unfavor-type
0.222858399,-5.903839819,favor-type
2.376025369,5.960765594,unfavor-type
-1.561264279,3.282280748,unfavor-type
-1.477557857,3.08921633,unfavor-type
-1.563327697,3.173809636,unfavor-type
-13.0730404,-12.59503985,favor-type
-11.08677546,-8.51081469,unfavor-type
-7.342130455,-4.231791944,unfavor-type
-7.594136049,-4.747070577,unfavor-type
5.282520124,2.335002546,unfavor-type
17.28566663,-1.718464167,unfavor-type
-4.485817901,2.821940867,unfavor-type
-0.891402094,-2.174958249,unfavor-type
-14.28950756,-12.31791544,favor-type
2.151987945,-0.572963117,unfavor-type
-2.579198195,8.697270271,favor-type
9.197652267,6.081599578,favor-type
-10.08317476,4.070742207,favor-type
12.24751251,5.429623902,favor-type
-14.56206714,-14.96310269,unfavor-type
16.83196856,-3.11123762,unfavor-type
3.631308588,13.04228169,unfavor-type
-12.66038917,-12.27228996,favor-type
-0.679755287,-1.170102169,favor-type
-0.872912927,-7.074032039,unfavor-type
6.522264462,-0.861270214,favor-type
1.550155538,-8.842979043,favor-type
-15.96893819,-14.29915435,favor-type
-2.975651752,-6.024721046,favor-type
11.32355479,3.0738454,unfavor-type
1.035446648,-7.414429129,unfavor-type
-10.61712366,-6.428815012,favor-type
4.870753966,10.02192004,unfavor-type
7.466949167,-7.526593864,favor-type
4.624655109,10.26163493,unfavor-type
14.55318563,-3.494923799,unfavor-type
-8.257936383,-7.462410014,favor-type
-0.051078587,-7.529374214,favor-type
-0.466099632,-4.694935236,favor-type
0.967396826,10.63807342,favor-type
-3.222877986,12.79447456,favor-type
15.88639788,0.814047558,unfavor-type
-3.335583247,-3.601741688,favor-type
-3.874868443,-4.872645298,favor-type
-8.701724318,-6.702811426,unfavor-type
-2.108779775,1.293592096,unfavor-type
7.686560672,-3.46645247,favor-type
-9.031746531,-1.835253825,unfavor-type
-3.009012323,-0.293804996,unfavor-type
-5.8408741,-2.129850597,favor-type
-8.068529024,-11.17198057,favor-type
-7.13593028,-2.675037234,unfavor-type
-11.66765191,-11.49879222,favor-type
7.971615359,-6.203447193,favor-type
8.927137298,-0.419404865,favor-type
2.532442605,13.19732315,favor-type
-11.13626381,-9.659201841,favor-type
-15.72954591,-12.18688818,favor-type
11.21294464,3.70910048,unfavor-type
-1.37807244,-6.302507245,favor-type
-0.12149486,1.444716902,unfavor-type
7.967000955,2.228989205,unfavor-type
-2.133603685,1.086238331,favor-type
6.679618417,1.861747893,unfavor-type
-0.500205615,-8.393244773,favor-type
5.531276336,-4.185175008,favor-type
-8.610990826,0.118015737,unfavor-type
