Ascomycota	Basidiomycota	Chytridiomycota	Cryptomycota	Microsporidia	Mucoromycota	Zoopagomycota	B_A_ratio
SRR15373041	70.04	11.58	1.32	0.06	12.75	4.16	0.09	0.16533409480297
SRR15373042	73.9	14.99	2.26	0.03	4.21	4.32	0.29	0.202841677943166
SRR15373043	74.24	13.06	2	0.08	6.2	4.11	0.31	0.175915948275862
SRR15373044	75.32	12.68	1.06	0.11	8	2.77	0.06	0.168348380244291
SRR15373045	74.18	12.03	2.07	0.05	7.88	3.6	0.19	0.162173092477757
SRR15373046	74.76	15.47	1.1	0.1	4.67	3.5	0.4	0.206928838951311
SRR15373047	71.28	17.44	1.16	0	5.39	4.37	0.36	0.244668911335578
SRR15373048	74.83	16.31	1.33	0.01	3.76	3.17	0.59	0.217960710944808
SRR15373049	74.33	14.04	1.28	0.15	6.6	3.43	0.17	0.188887394053545
SRR15373050	73.45	15.3	2.99	0.05	4.09	3.81	0.31	0.208304969366916
SRR15373051	76.55	13.57	1.82	0.02	3.6	4.23	0.21	0.17726975832789
SRR15373052	73.76	14.63	1.11	0.05	6.11	3.99	0.35	0.198345986984816
SRR15373053	78.1	10.38	2.17	0.06	3.3	5.81	0.18	0.132906530089629
SRR15373054	72.48	15.67	1.47	0.25	6.45	3.11	0.57	0.216197571743929
SRR15373055	72.6	15.45	1.5	0.08	6.48	3.55	0.34	0.212809917355372
SRR15373056	89.85	6.3	0.62	0.04	1.78	1.32	0.09	0.0701168614357262
SRR15373057	75.53	13.36	1.02	0.05	6.58	3.15	0.31	0.176883357606249
SRR15373058	76.52	13.18	1.29	0.05	4.94	3.56	0.46	0.172242550967067
SRR15373059	75.65	12.19	1.75	0.04	6.13	4.04	0.2	0.161136814276272
SRR15373060	70.97	18.02	0.82	0.07	7.36	2.31	0.45	0.253910102860364
SRR15373061	73.49	12.99	1.17	0.04	8.79	3.28	0.24	0.17675874268608
SRR15373062	68.3	13.51	1.56	0.09	12.27	4.03	0.24	0.197803806734993
SRR15373063	78.49	11.25	1.14	0.06	6.68	2.25	0.13	0.143330360555485
SRR15373064	74.12	14.7	1.63	0.1	5.73	3.56	0.16	0.198327037236913
SRR15373065	72.35	12.48	1.38	0.01	9.54	3.99	0.25	0.172494816862474
SRR15373066	69.26	16.37	1.29	0.04	8.83	3.75	0.46	0.236355760900953
SRR15373067	74.29	14.1	0.42	0.04	6.54	3.69	0.92	0.189796742495625
SRR15373068	74.37	15.78	1.02	0.03	4.81	3.71	0.28	0.212182331585317
SRR15373069	74.32	13.23	1.06	0.07	6.57	4.67	0.08	0.178013993541442
SRR15373070	78.87	12.57	2.3	0.03	2.04	3.97	0.22	0.159376188664892
SRR15373071	70.77	13.94	1.78	0.11	9.17	4.07	0.16	0.196976119824785
SRR15373072	77.1	14.35	0.75	0.02	4.34	3.28	0.16	0.186121919584955
SRR15373073	72.11	15.51	1.23	0	7.24	3.61	0.3	0.215088059908473
SRR15373074	71.45	11.78	1.9	0.11	11.06	3.6	0.1	0.164870538838348
SRR15373075	81.98	10.57	1.29	0.04	3.13	2.75	0.24	0.128933886313735
SRR15373076	72.75	13.17	1.13	0.03	9.18	3.18	0.56	0.181030927835052
SRR15373077	73.92	16.65	1.05	0.04	4.6	3.34	0.4	0.225243506493507
SRR15373078	94.53	4.62	0.12	0	0.33	0.38	0.02	0.048873373532212
SRR15373079	74.42	14.48	1.55	0.09	5.47	3.69	0.3	0.194571351787154
SRR15373080	75.09	13.44	1.61	0.05	5.29	4.2	0.32	0.178985217738714
SRR15373081	73.19	14.95	1.39	0.04	6.53	3.62	0.28	0.204262877442274
SRR15373082	77.7	12.3	2.49	0.07	4.24	3.1	0.1	0.158301158301158
SRR15373083	74.94	10.66	1.31	0.13	9.73	3.09	0.14	0.142247131038164
SRR15373084	72.99	14.07	1.15	0.03	7.68	3.9	0.18	0.192766132346897
SRR15373085	72.09	13.83	1.29	0.07	8.31	4.09	0.32	0.191843528922181
SRR15373086	72.48	14.85	1.47	0.04	6.31	4.75	0.1	0.204884105960265
SRR15373087	72.63	16.08	1.08	0.06	6.12	3.83	0.2	0.221396117306898
SRR15373088	73.65	15.08	1.13	0.07	5.3	4.42	0.35	0.204752206381534
SRR15373090	70.9	15.99	2.2	0.04	7.06	3.66	0.15	0.225528913963329
SRR15373091	73.09	11.01	1.7	0.04	9.61	4.35	0.2	0.15063620194281
SRR15373092	69.79	13.45	1.38	0	11.22	3.88	0.28	0.192721020203468
SRR15373093	82.99	9.12	3.39	0	1.8	2.44	0.26	0.109892758163634
SRR15373094	77.96	12.91	3.37	0.02	2.44	3.22	0.08	0.165597742432016
SRR15373095	75.12	14.8	0.94	0.01	5.03	3.75	0.35	0.197018104366347
SRR15373096	71.27	13.66	1.25	0.04	9.9	3.43	0.45	0.191665497404237
SRR15373097	71.83	12.28	1.49	0.07	10.66	3.47	0.2	0.170959209244048
SRR15373098	76.39	13	1.78	0.01	4.9	3.76	0.16	0.170179342845922
SRR15373099	75.77	11.9	0.9	0.03	8.02	3.16	0.22	0.157054243104131
SRR15373100	74.55	12.14	2.73	0.06	6.34	3.94	0.24	0.162843729040912
SRR15373101	76.66	12.37	0.4	0.06	7.52	2.91	0.08	0.161361857552831
SRR15373102	79.36	13.14	1.79	0.08	2.02	3.48	0.13	0.165574596774194
SRR15373103	76.1	14.38	1.21	0.03	4.74	3.33	0.21	0.188961892247043
SRR15373104	74.28	15.68	1.24	0.05	4.68	3.72	0.35	0.211093161012386
SRR15373105	71.81	13.17	1.15	0	10.3	3.31	0.26	0.183400640579307
SRR15373106	74.86	16.46	0.94	0.05	3.78	3.8	0.11	0.219877103927331
SRR15373108	73.01	14.95	1.32	0.09	6.84	3.46	0.33	0.204766470346528
SRR15373109	75.42	13.33	1.31	0.07	6.2	3.52	0.15	0.176743569345001
SRR15373110	71.84	12.64	1.52	0.09	8.91	4.74	0.26	0.175946547884187
SRR15373111	72.79	13.43	1.81	0.02	7.43	4.29	0.23	0.184503365846957
SRR15373112	69.83	13.25	1.67	0.07	10.9	4.01	0.27	0.189746527280538
SRR15373113	73.67	15.78	1.57	0.05	5.14	3.59	0.2	0.214198452558708
SRR15373114	71.65	12.36	1.62	0.06	10.78	3.38	0.15	0.172505233775297
SRR15373115	75.9	12.95	2.16	0.06	4.19	4.52	0.22	0.170619235836627
SRR15373117	71.03	15.03	3.11	0.02	6.97	3.64	0.2	0.211600732085034
SRR15373118	79.53	12.19	1.93	0.06	3.1	2.84	0.35	0.153275493524456
SRR15373119	78.36	12.87	2.16	0	2.65	3.77	0.19	0.164241960183767
SRR15373120	71.53	16.54	2.81	0.07	4.99	3.91	0.15	0.231231651055501
SRR15373121	77.61	12.68	1.3	0.06	3.85	4.22	0.28	0.163381007602113
SRR15373122	70.34	13.6	1.2	0.06	10.08	4.52	0.2	0.193346602217799
SRR15373123	77.59	8.18	2.27	0.03	8.28	3.39	0.26	0.105425956953216
SRR15373124	78.11	11.31	2.11	0.04	4.65	3.72	0.06	0.144795800793752
SRR15373125	77.09	12.92	1.15	0.07	5.61	2.72	0.44	0.167596315994292
SRR15373126	71.54	15.34	2.33	0.11	6.23	4.16	0.29	0.214425496225888
SRR15373127	71.03	12.73	1.53	0.07	9.88	4.58	0.18	0.179220047867098
SRR15373128	68.77	14.8	1.36	0.02	10.24	4.65	0.16	0.215210120692162
SRR15373129	75.87	12.03	1.6	0.13	6.25	3.86	0.26	0.158560695927244
SRR15373130	77	13.46	1.15	0.02	5.56	2.66	0.15	0.174805194805195
SRR15373131	72.34	13.84	1.71	0.09	7.38	4.48	0.16	0.191318772463367
SRR15373132	72.73	13.22	1.14	0.06	9.7	2.8	0.35	0.181768183693112
SRR15373133	78.91	12.05	2.05	0.05	3.06	3.68	0.2	0.152705613990622
SRR15373134	77.6	13.47	1.18	0	3.08	4.56	0.11	0.173582474226804
SRR15373135	70.73	14.2	1.58	0	7.75	5.53	0.21	0.200763466704369
SRR15373136	72.23	13.74	1.56	0.1	8.95	3.28	0.14	0.190225668004984
SRR15373137	72.5	11.84	1.27	0.04	11.25	2.84	0.26	0.163310344827586
SRR15373138	75.05	13.83	2.2	0.05	4.47	4.26	0.14	0.184277148567622
SRR15373139	70.92	12.63	2.34	0.01	10.34	3.59	0.17	0.178087986463621
SRR15373140	75.36	13.86	1.14	0.04	5.88	3.23	0.49	0.183917197452229
SRR15373141	68.6	14.85	1.67	0.05	10.52	4.02	0.29	0.216472303206997
SRR15373142	78.65	12.37	1.56	0.02	3.36	3.86	0.18	0.157279084551812
SRR15373143	71.92	16.98	1.54	0.1	4.96	3.95	0.55	0.236095661846496
SRR15373144	70.4	12.98	1.56	0.06	10.76	3.96	0.28	0.184375
SRR15373145	72.59	15.57	1.16	0.04	6.59	3.15	0.9	0.214492354318777
