"","path_ID","fc","auroc","p.val","p.adj","cohen.d"
"62","PWY-6700: queuosine biosynthesis",-0.111452881186611,0.396584211399026,1.34755705172296e-06,9.27741200993883e-06,-0.265669079621307
"63","PWY-6703: preQ0 biosynthesis",-0.114782968449882,0.377673766562655,1.08873985382729e-08,9.9093779916145e-08,-0.346749289771121
"64","PWY-6737: starch degradation V",0.0987547636313467,0.702618369285036,2.84342307851147e-21,1.38810744832787e-19,0.599447554801333
"65","PWY-7003: glycerol degradation to butanol",0.0901401590155621,0.607417959269811,4.43563663695494e-07,3.30824565839556e-06,0.365027021061471
"66","PWY-7196: superpathway of pyrimidine ribonucleosides salvage",0.236894601906021,0.649369149369149,2.94095790331743e-12,3.76025401292525e-11,0.456017107203865
"67","PWY-7199: pyrimidine deoxyribonucleosides salvage",0.0778846026069822,0.596896245044393,6.03189061859058e-06,3.76642472346877e-05,0.300108165669683
"68","PWY-7208: superpathway of pyrimidine nucleobases salvage",-0.0604970383845235,0.380213750584121,2.21680354073328e-08,1.92003790544157e-07,-0.337952981672007
"69","PWY-7209: superpathway of pyrimidine ribonucleosides degradation",0.0470901783016058,0.607402885180663,1.60413773473356e-07,1.24843762833612e-06,0.286670499145643
"70","PWY-7211: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis",0.100167337740712,0.604877975248346,9.68389928552888e-07,6.93367188843868e-06,0.283865293665375
"71","PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II",-0.0855458856866342,0.340357858876377,8.94839757847876e-14,1.4133204410715e-12,-0.487271396179473
"72","PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II",-0.0855458856866342,0.340357858876377,8.94839757847876e-14,1.4133204410715e-12,-0.487271396179473
"73","PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I",-0.0836543350232529,0.336061743469151,1.90958360235527e-14,3.41815464821593e-13,-0.452474587130236
"74","PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I",-0.0439739376333927,0.381675937231493,3.27831632951359e-08,2.77500941099021e-07,-0.37125420816711
