"","KO","KO_ID","fc","auroc","p.val","p.adj","cohen.d","ID","L1","id1","L2","id2","L3","gene","protein","EC"
"3873","K07678","K07678",-0.019012100358465,0.412464764316616,4.31835094842903e-05,0.000235767803256525,-0.241941502392164,"A09130","Environmental Information Processing",9132,"Signal transduction",2020,"Two-component system [PATH:ko02020","barA, gacS, varS"," two-component system, NarL family, sensor histidine kinase BarA ","EC:2.7.13.3"
"3879","K07679","K07679",-0.0104213637306047,0.449407588296477,0.0181015882527604,0.0460194881809109,-0.213175210344121,"A09180","Brite Hierarchies",9181,"Protein families: metabolism",1001,"Protein kinases [BR:ko01001","evgS, bvgS"," two-component system, NarL family, sensor histidine kinase EvgS ","EC:2.7.13.3"
"3883","K07684","K07684",-0.00881983905090339,0.411315365019069,3.114108922464e-05,0.000176723763469939,-0.223384198312425,"A09130","Environmental Information Processing",9132,"Signal transduction",2020,"Two-component system [PATH:ko02020","narL"," two-component system, NarL family, nitrate/nitrite response regulator NarL",""
"3885","K07686","K07686",-0.0469345767531014,0.429253531105383,0.000950472417065251,0.00333627038131757,-0.293102473452229,"A09180","Brite Hierarchies",9183,"Protein families: signaling and cellular processes",2022,"Two-component system [BR:ko02022","uhpA"," two-component system, NarL family, uhpT operon response regulator UhpA",""
"3887","K07688","K07688",-0.0102406008133891,0.436711436711437,0.00306232417529162,0.00946784667043373,-0.189578751912392,"A09180","Brite Hierarchies",9183,"Protein families: signaling and cellular processes",2022,"Two-component system [BR:ko02022","fimZ"," two-component system, NarL family, response regulator, fimbrial Z protein, FimZ",""
"3889","K07689","K07689",-0.0212143712614007,0.44483260224001,0.00992773702656313,0.0269860719827505,-0.238099009277573,"A09180","Brite Hierarchies",9183,"Protein families: signaling and cellular processes",2022,"Two-component system [BR:ko02022","uvrY, gacA, varA"," two-component system, NarL family, invasion response regulator UvrY",""
"3894","K07690","K07690",-0.0265853185497737,0.431970635674339,0.00148036508220928,0.00492429871133618,-0.210740149409301,"A09180","Brite Hierarchies",9183,"Protein families: signaling and cellular processes",1504,"Antimicrobial resistance genes [BR:ko01504","evgA, bvgA"," two-component system, NarL family, response regulator EvgA",""
"3898","K07699","K07699",0.203262135066883,0.762831818387374,1.2403389939489e-34,9.13899333063588e-33,1.03757957146941,"A09130","Environmental Information Processing",9132,"Signal transduction",2020,"Two-component system [PATH:ko02020","spo0A"," two-component system, response regulator, stage 0 sporulation protein A",""
"3901","K07700","K07700",-0.0246725242635919,0.448653883839069,0.0164770496107549,0.0423550216298689,-0.211275688576417,"A09130","Environmental Information Processing",9132,"Signal transduction",2020,"Two-component system [PATH:ko02020","dpiB, citA"," two-component system, CitB family, cit operon sensor histidine kinase CitA ","EC:2.7.13.3"
"3904","K07701","K07701",-0.03254331172398,0.42999592999593,0.00107696652450562,0.00371913035380911,-0.240714013643946,"A09180","Brite Hierarchies",9181,"Protein families: metabolism",1001,"Protein kinases [BR:ko01001","dcuS"," two-component system, CitB family, sensor histidine kinase DcuS ","EC:2.7.13.3"
"3907","K07702","K07702",-0.0287851975940505,0.440412125597311,0.00537446056899848,0.0155644378078196,-0.213504425204689,"A09130","Environmental Information Processing",9132,"Signal transduction",2020,"Two-component system [PATH:ko02020","dpiA, citB"," two-component system, CitB family, response regulator CitB",""
"3909","K07703","K07703",-0.0203021367725479,0.437265409487632,0.00337134080666379,0.0103008380023056,-0.23472948107773,"A09180","Brite Hierarchies",9183,"Protein families: signaling and cellular processes",2022,"Two-component system [BR:ko02022","dcuR"," two-component system, CitB family, response regulator DcuR",""
