donor_origin_clust,observed,chao1,diversity_inverse_simpson,diversity_gini_simpson,diversity_shannon,diversity_fisher,diversity_coverage,evenness_camargo,evenness_pielou,evenness_simpson,evenness_evar,evenness_bulla,dominance_dbp,dominance_dmn,dominance_absolute,dominance_relative,dominance_simpson,dominance_core_abundance,dominance_gini,rarity_log_modulo_skewness,rarity_low_abundance,rarity_rare_abundance,S1_or_S4
Donor_origin_clust2,5224,5472.388982,10.78702299,0.907296017,3.116656217,545.5709472,4,0.026328872,0.364052029,0.002064897,0.219887202,0.035820771,0.216695317,0.351328135,1702810,0.216695317,0.092703983,0.652820586,0.994993846,2.061420832,0.063541189,0.072302358,S4
Donor_origin_clust2,5994,6150.803695,20.58268184,0.951415466,4.07773354,749.9823547,8,0.070560457,0.468785062,0.003433881,0.26082515,0.080617803,0.135152393,0.23267264,299703,0.135152393,0.048584534,0.657047809,0.977304199,2.061422694,0.120464357,0.179613794,S1
Donor_origin_clust2,5082,5375.001715,12.51912561,0.920122217,3.40643266,572.0163789,5,0.248452212,0.399185394,0.002463425,0.213740205,0.051923956,0.192195346,0.318942621,793451,0.192195346,0.079877783,0.673106274,0.991807722,2.061422838,0.094892472,0.077626039,S4
Donor_origin_clust2,5752,6041.035533,13.53518603,0.926118489,3.662193877,723.2507808,6,0.103038008,0.423017875,0.002353127,0.270314883,0.063027012,0.221522669,0.280275767,455502,0.221522669,0.073881511,0.733933233,0.985058561,2.061422995,0.108816515,0.121890429,S1
Donor_origin_clust2,4821,5120.456522,20.10343841,0.950257265,3.870927054,580.7557355,8,0.227543916,0.456437596,0.004169973,0.226778778,0.061331193,0.13511212,0.240897558,316059,0.13511212,0.049742735,0.731965365,0.987915734,2.061422508,0.097735798,0.131517355,S4
Donor_origin_clust2,5585,5799.970238,6.688437617,0.850488252,2.746557691,599.7831107,3,0.028967922,0.318336662,0.001197572,0.256144419,0.034858032,0.309062635,0.494520225,2051262,0.309062635,0.149511748,0.887258226,0.994210256,2.0614222,0.064263408,0.046302096,S1
Donor_origin_clust2,5494,5773.315789,6.221888607,0.839277097,3.363417979,695.8090851,4,0.088814241,0.390576834,0.001132488,0.262189186,0.064086938,0.384696577,0.454807918,718734,0.384696577,0.160722903,0.675511718,0.985540435,2.061422991,0.107007173,0.171495798,S4
Donor_origin_clust2,6480,6605.972973,34.11353008,0.970686118,4.486401163,767.3087955,13,0.095968593,0.511184816,0.005264434,0.255282336,0.08611765,0.101834306,0.162474975,363439,0.101834306,0.029313882,0.563714844,0.970886949,2.061422876,0.125085005,0.237630379,S1
Donor_origin_clust2,4790,5093.771186,12.89809827,0.92246919,3.486024829,560.5575359,5,0.305948747,0.411365035,0.002692714,0.238006908,0.051519381,0.203498804,0.319023947,586370,0.203498804,0.07753081,0.751590697,0.990748022,2.061422692,0.079628533,0.090743801,S4
Donor_origin_clust2,5288,5504.597111,9.979940818,0.899799005,3.135074668,586.5504381,4,0.028998867,0.365683334,0.001887281,0.249311786,0.039083896,0.25186453,0.365608404,1215536,0.25186453,0.100200995,0.833537499,0.993460716,2.061421173,0.071477679,0.0583923,S1
Donor_origin_clust2,5095,5371.653673,12.21809858,0.918154204,3.348481742,600.5402056,4,0.048982409,0.392276931,0.002398057,0.247127059,0.049018806,0.193303787,0.309230002,561383,0.193303787,0.081845796,0.80803361,0.991479171,2.061422732,0.078904009,0.111650952,S4
Donor_origin_clust2,5677,5860.271047,10.59836606,0.905645833,3.054061153,608.3266185,4,0.056924288,0.353308444,0.001866896,0.253441047,0.035619771,0.177532758,0.352520954,1219780,0.177532758,0.094354167,0.822370164,0.993657494,2.061422025,0.059104183,0.053145429,S1
Donor_origin_clust2,6322,6405.88,14.7927672,0.932399396,3.71633448,722.9466649,5,0.030816649,0.424637029,0.002339887,0.251350379,0.066406549,0.170083885,0.277680042,771799,0.170083885,0.067600604,0.756575664,0.982141524,2.061422339,0.120611624,0.131439666,S1
Donor_origin_clust2,5319,5563.002062,10.74166371,0.906904552,3.313559563,568.4870411,4,0.049831704,0.386238942,0.002019489,0.219508851,0.040194782,0.240913897,0.351590388,1584834,0.240913897,0.093095448,0.77901671,0.993075617,2.061422543,0.075196723,0.07521922,S4
Donor_origin_clust2,6321,6429.560831,16.16221186,0.938127281,3.903388994,782.0201382,6,0.069083182,0.446018375,0.002556907,0.27143489,0.093011915,0.137023146,0.270068265,346930,0.137023146,0.061872719,0.767856494,0.970996124,2.061422769,0.130832953,0.141941571,S1
Donor_origin_clust2,5745,5951.184906,13.4620606,0.925717167,3.408864458,669.6775756,5,0.072350384,0.393811334,0.002343266,0.261325573,0.049005869,0.188245805,0.299536644,670217,0.188245805,0.074282833,0.850199799,0.989368375,2.061422191,0.089637783,0.076429454,S4
Donor_origin_clust2,5583,5835.385321,9.660326524,0.89648383,2.997798726,615.5495916,4,0.030984059,0.347470894,0.001730311,0.254647223,0.03797369,0.18266153,0.34522207,976982,0.18266153,0.10351617,0.890460704,0.993146468,2.06142211,0.061761301,0.053221483,S1
Donor_origin_clust2,3704,4168.672646,6.031874708,0.834214063,2.645898879,378.0582714,2,0.580561832,0.321996421,0.001628476,0.198537939,0.033171227,0.342702045,0.510551639,2330353,0.342702045,0.165785937,0.552476868,0.997323819,2.06142189,0.04637321,0.045526879,S4
