cluster,tsne1,tsne2
1,-6.751890744,-3.007859969
1,-5.435071245,-0.628835457
2,3.756831135,1.241046767
2,-6.021214971,13.83293288
1,-12.74334853,-9.670389222
1,-6.966096208,-3.492675896
1,-3.96368485,-8.562650596
1,-4.721897726,0.977977359
2,0.918630986,0.634967435
2,-4.87667221,14.64646569
2,0.245673385,3.296861961
2,5.354556904,6.757900015
1,-0.837111642,-2.025217182
2,2.855504182,10.8297503
1,-0.139328107,-2.066259674
1,-3.138719934,-9.923182758
2,5.36159002,3.603578376
2,7.830035738,10.91762965
2,5.268795928,5.395674523
1,-9.562202298,1.987532447
1,-9.806972316,-12.80391355
2,4.793549338,3.367853591
1,-7.956970394,-5.228388081
2,1.554179426,3.234573975
2,3.318110617,7.616221969
2,5.25223379,3.113387464
2,3.510134228,9.969245447
2,-6.614871303,11.8567975
1,-8.157494661,2.998848542
2,2.832908162,-0.976796627
2,0.815755803,1.521992406
1,-6.250492983,-9.198622877
2,3.134349299,0.120426252
2,4.198054226,4.053902427
2,-4.18113347,18.5707896
2,5.308499527,4.306332034
1,-4.774859376,-0.903608034
1,-5.593234948,-13.13254319
2,2.37359598,0.254350945
1,2.203604437,-1.749774525
2,7.716363596,10.42526327
1,-0.070915633,-8.368273795
2,4.700858257,0.734615918
1,-8.985355035,-2.760734264
1,2.42293714,-3.87463255
1,-7.170870784,-4.982028714
1,-8.327001361,-5.554852511
1,-0.758544424,-7.696350506
2,2.796226928,4.050061296
1,-11.25714467,-6.244320619
2,1.727382192,0.495679792
1,-11.3099832,-6.2060496
2,-4.408717123,17.57170645
2,6.675537077,2.272471702
2,9.08055399,10.76537106
2,3.272477672,9.871482974
2,-3.641219202,14.14969869
2,3.349882447,9.844393518
2,-4.1970602,18.54428853
2,-0.501480255,4.224467597
2,8.255140082,1.48602408
2,-0.586331584,4.478521756
2,5.416593717,0.831086309
2,6.513008104,2.505584821
2,1.213149433,10.55278605
1,-8.787784473,-7.469961023
2,4.41960538,10.27626919
2,3.789650574,10.53393613
2,-3.254774903,5.767537304
1,-0.813168927,-9.260218724
2,9.476311659,3.055888574
1,-11.99583482,-0.109317639
1,-11.65445452,-0.200663626
1,-11.95835439,-0.123729981
1,4.882168964,-6.507852811
1,4.839121335,-6.224619981
1,4.896739989,-6.660076081
2,4.123617589,6.009714672
1,-7.304124998,-0.44462848
1,-1.724013863,-10.99112753
2,10.83916474,12.99396632
2,10.89679642,13.00636185
2,10.7426362,12.97992187
1,2.440014639,-9.449313898
1,2.64064661,-9.275968201
2,1.428199287,10.44920569
